Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
1.0,3.0,2010-10-13,Low,6.0,261.54,0.04,Regular Air,-213.25,38.94,35.0,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,2010-10-20
49.0,293.0,2012-10-01,High,49.0,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,2012-10-02
50.0,293.0,2012-10-01,High,27.0,244.57,0.01,Regular Air,46.7075,8.69,2.99,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2012-10-03
80.0,483.0,2011-07-10,High,30.0,4965.759499999999,0.08,Regular Air,1198.971,195.99,3.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,2011-07-12
85.0,515.0,2010-08-28,Not Specified,19.0,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2010-08-30
86.0,515.0,2010-08-28,Not Specified,21.0,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,2010-08-30
97.0,613.0,2011-06-17,High,12.0,93.54,0.03,Regular Air,-54.0385,7.3,7.72,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2011-06-17
98.0,613.0,2011-06-17,High,22.0,905.08,0.09,Regular Air,127.7,42.76,6.22,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,2011-06-18
103.0,643.0,2011-03-24,High,21.0,2781.82,0.07,Express Air,-695.26,138.14,35.0,Monica Federle,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,,2011-03-25
107.0,678.0,2010-02-26,Low,44.0,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,2010-02-26
127.0,807.0,2010-11-23,Medium,45.0,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4,2010-11-24
128.0,807.0,2010-11-23,Medium,32.0,124.56,0.04,Regular Air,-14.33,3.95,2.0,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,2010-11-24
134.0,868.0,2012-06-08,Not Specified,32.0,716.84,0.0,Regular Air,134.72,21.78,5.94,Carlos Daly,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2012-06-09
135.0,868.0,2012-06-08,Not Specified,31.0,1474.33,0.04,Regular Air,114.46,47.98,3.61,Carlos Daly,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,2012-06-10
149.0,933.0,2012-08-04,Not Specified,15.0,80.61,0.02,Regular Air,-4.715,5.28,2.99,Claudia Miner,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,2012-08-04
160.0,995.0,2011-05-30,Medium,46.0,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,2011-05-31
161.0,998.0,2009-11-25,Not Specified,16.0,248.26,0.07,Regular Air,93.8,15.74,1.39,Allen Rosenblatt,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,2009-11-26
175.0,1154.0,2012-02-14,Critical,44.0,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,2012-02-16
